ID,mean,std,p50,p85
road2408,15.311000,6.716000,14.932000,23.196000
road2409,14.143000,4.863000,15.199000,17.492000
road2412,10.777000,3.983000,10.638000,13.171000
road2413,9.920000,2.526000,9.829000,11.622000
road2414,18.635000,7.232000,17.579000,23.598000
road2415,11.634000,2.207000,11.841000,14.010000
road2419,12.619000,3.384000,12.140000,14.401000
road242,14.651000,5.133000,13.268000,18.837000
road2420,11.038000,2.194000,10.668000,12.635000
road2422,10.975000,3.701000,10.541000,13.026000
road2424,10.528000,2.383000,10.692000,12.666000
road2427,16.001000,7.915000,14.221000,22.508000
road2429,18.574000,7.891000,17.236000,26.237000
road243,8.536000,3.455000,8.162000,11.925000
road2431,18.106000,7.419000,17.084000,24.710000
road2433,27.674000,9.135000,26.455000,37.408000
road2435,21.846000,8.713000,20.131000,31.335000
road2436,11.761000,4.988000,11.101000,15.143000
road2438,18.574000,7.891000,17.236000,26.237000
road2439,9.949000,2.954000,9.890000,12.754000
road2440,12.716000,3.676000,12.386000,15.959000
road2441,13.460000,5.192000,13.886000,17.208000
road2442,18.062000,8.113000,16.842000,25.436000
road2445,7.157000,7.016000,4.503000,14.011000
road2452,16.240000,5.730000,15.049000,19.271000
road2453,15.804000,3.544000,15.409000,19.277000
road246,6.962000,3.355000,6.277000,10.779000
road2462,26.915000,9.378000,25.774000,36.240000
road2465,29.331000,10.941000,27.789000,39.834000
road2467,12.349000,2.118000,12.148000,13.813000
road2469,13.288000,2.132000,13.496000,15.199000
road2473,18.536000,6.482000,18.014000,23.817000
road2475,12.514000,2.682000,12.211000,15.326000
road2476,19.181000,4.492000,18.504000,24.078000
road2477,20.204000,7.534000,19.032000,27.608000
road2479,18.920000,6.101000,18.622000,23.948000
road2480,8.397000,3.994000,8.149000,12.587000
road2482,10.773000,3.554000,9.912000,13.636000
road2484,11.190000,4.148000,10.917000,15.129000
road249,23.058000,7.601000,23.941000,30.145000
road2490,19.267000,5.475000,19.990000,23.631000
road2492,23.942000,7.484000,22.301000,30.460000
road250,14.490000,3.695000,14.600000,18.023000
road2502,12.894000,10.317000,11.067000,23.480000
road2504,26.810000,8.665000,25.519000,35.941000
road2509,25.666000,8.178000,23.801000,32.154000
road251,29.801000,9.260000,28.386000,38.637000
road2510,11.553000,2.391000,11.873000,13.742000
road2511,13.680000,6.484000,12.432000,18.529000
road2513,11.824000,2.713000,12.114000,14.849000
road2514,11.083000,3.030000,10.991000,14.062000
road2516,28.508000,9.837000,27.078000,38.584000
road2517,6.934000,5.234000,5.096000,8.297000
road2518,8.792000,3.110000,8.497000,12.356000
road2519,18.502000,8.912000,17.663000,26.690000
road2520,7.409000,6.297000,5.045000,13.149000
road2521,7.478000,3.759000,7.372000,11.113000
road2522,7.790000,8.430000,4.376000,14.868000
road2524,19.807000,8.908000,18.441000,30.251000
road2525,13.678000,4.885000,12.899000,18.146000
road2529,12.476000,5.711000,11.822000,15.820000
road253,13.551000,4.659000,13.770000,16.272000
road2532,27.190000,9.093000,25.848000,35.781000
road2534,12.263000,8.560000,11.231000,21.331000
road2535,12.738000,5.079000,12.214000,17.121000
road2537,15.922000,3.008000,15.883000,19.006000
road2539,15.789000,7.598000,15.092000,22.769000
road254,14.444000,3.752000,14.370000,17.309000
road2540,15.409000,5.713000,15.170000,19.798000
road2541,23.983000,9.096000,22.675000,32.549000
road2542,12.926000,8.079000,11.169000,17.330000
road2544,11.088000,4.478000,11.088000,15.164000
road2548,13.717000,4.014000,13.756000,16.608000
road2549,11.795000,7.618000,10.063000,15.294000
road255,13.833000,2.940000,13.496000,16.598000
road2551,17.724000,4.828000,18.942000,21.365000
road2554,5.102000,3.881000,3.426000,9.609000
road2555,13.974000,3.281000,13.560000,17.335000
road256,13.328000,3.348000,13.048000,15.658000
road2560,15.982000,2.980000,16.038000,18.293000
road2561,20.621000,8.220000,19.833000,28.406000
road2562,18.027000,5.338000,17.564000,21.139000
road2567,17.412000,6.774000,17.562000,22.945000
road2569,14.984000,7.309000,13.506000,19.960000
road257,15.988000,2.725000,15.710000,18.448000
road2572,19.742000,9.552000,18.895000,29.179000
road2575,21.441000,8.784000,20.244000,30.636000
road2577,22.854000,8.755000,21.621000,31.819000
road2579,21.810000,9.441000,21.359000,32.247000
road2582,15.761000,3.482000,15.879000,18.361000
road2586,15.137000,3.293000,15.224000,18.253000
road2588,12.708000,10.945000,9.937000,24.819000
road2589,12.106000,10.692000,9.207000,23.016000
road259,13.787000,3.125000,13.466000,16.596000
road2590,15.992000,4.876000,16.576000,19.092000
road2591,12.022000,10.462000,9.096000,23.276000
road2593,14.191000,9.195000,13.818000,23.047000
road2594,15.892000,4.297000,15.006000,19.883000
road2597,27.496000,8.755000,26.439000,36.222000
road26,19.289000,3.525000,19.494000,22.500000
road260,16.312000,3.358000,15.834000,18.936000
