CONNECTION ID,# EDGES,EDGE IDS
road173,2,-8179128#3,59374120#1
road174,8,-59374120#1,-73427459,-8179128#1,-8179128#2,59374120#1,73427459,8179128#1,8179128#2
road175,2,-59374120#1,8179128#3
road176,1,-8179128#1
road177,18,-119695444#0,-119695444#1,-119695445,-119695446,-35468693,-35468756,-4607834,-558371517,-8179128#1,119695444#0,119695444#1,119695445,119695446,35468693,35468756,4607834,558371517,8179128#1
road178,2,-53368567,4607834
road179,1,-558371517
road180,2,119695444#3,119695446
road181,1,8179128#1
road182,2,-119695444#3,-119695446
road183,8,-119695444#4,-119695444#5,-119695446,-53368577,119695444#4,119695444#5,119695446,53368577
road184,2,-53368576,-53368577
road185,1,119695444#6
road186,11,-119695444#6,-166482549#0,-207807330#0,-207807330#1,119695444#6,166482549#0,207807330#0,207807330#1,30446394#0,30446394#1,30446394#2
road187,1,-119695444#6
road188,1,157467038#0
road189,1,166482549#0
road190,8,-157467038#0,-157467038#1,-299392150#0,-299392150#1,157467038#0,157467038#1,299392150#0,299392150#1
road191,1,-157467038#0
road192,1,299392150#2
road193,1,-299392150#2
road194,2,-299392150#3,299392150#3
road195,1,299392150#4
road196,4,-299392150#4,-47009633#0,299392150#4,47009633#0
road197,1,-299392150#4
road198,1,-47009633#0
road199,1,47009633#1
road200,1,-47009633#1
road201,6,-47009633#2,-47009633#3,-47009633#4,47009633#2,47009633#3,47009633#4
road202,1,47009633#4
road203,1,-2498964#3
road204,8,-398992765,197477212,233811549#0,233811549#1,233811549#2,233811549#3,398992765,6273473
road205,1,203981674
road206,1,233811549#3
road207,3,-19803933,-67449831,48379492
road208,1,381871422#0
road209,1,48379492
road210,7,-176022840#0,-19803932,-19803933,176022840#0,19803932,19803933,48379492
road211,1,-67449831
road212,1,176022840#0
road213,2,19803933,67449831
road214,6,-176022838,-176022839,-176022840#1,176022838,176022839,176022840#1
road215,1,-176022840#0
road216,1,176022838
road217,1,176022839
road218,1,176022840#2
road219,6,-176022840#2,-2483869,-8255605,176022840#2,2483869,8255605
road220,1,-176022840#2
road221,1,-2483869
road222,1,29078577#0
road223,1,8255605
road224,1,-18122226#1
road225,6,-18122226#3,-29057532#0,-8255605,18122226#3,29057532#0,8255605
road226,1,-8255605
road227,1,18122226#3
road228,1,29057532#1
road229,1,-49513439
road230,1,-39658930
road231,2,452787289,549062315
road232,2,-22780531#0,22780531#0
road233,2,-2483764#0,22780531#1
road234,1,-38846764#1
road235,1,2483764#1
road236,1,-38846765#0
road237,2,-38846766,38846766
road238,1,38846765#1
road239,1,-38846765#1
road240,1,-5067441#0
road241,4,-5067441#1,-6012200#0,5067441#1,6012200#0
road242,1,5067441#2
road243,1,5067442#1
road244,1,6012200#1
road245,5,-6012201#0,5067442#2,5067442#3,5067442#4,6012201#0
road246,1,5067442#6
road247,1,6012201#1
road248,2,-207807966#0,207807966#0
road249,1,-231133384#2
road250,1,-5831704
road251,1,207807966#1
road252,4,-5831704,-5831747,5831704,5831747
road253,1,-5831747
road254,1,5831704
road255,1,-565189539#3
road256,1,565189539#3
road257,1,-231133301#0
road258,8,-231133301#1,-4839794#0,-4839795#0,-565189539#3,231133301#1,4839794#0,4839795#0,565189539#3
road259,1,-565189539#3
road260,1,231133301#2
road261,2,4839794#0,4839795#0
road262,1,-100610953#0
road263,8,-100610953#1,-100610967,-4839794#1,-4839794#2,100610953#1,100610967,4839794#1,4839794#2
road264,2,-4839794#0,-4839795#0
road265,1,4839795#1
road266,1,-2484357#0
road267,4,-2484357#1,-2484357#2,2484357#1,2484357#2
road268,1,100610953#0
road269,1,231133184#0
road270,10,-195361779,-231133183#0,-231133183#1,-231133183#2,-231133183#3,195361779,231133183#0,231133183#1,231133183#2,231133183#3
road271,1,-195361779
road272,1,231133183#4
road273,1,-102227922#1
road274,2,-372812004,372812004
road275,1,-5884908
road276,2,372812005#0,5884908
road277,1,-102227922#0
road278,2,-6235509,-6235510#0
road279,1,102227922#1
road280,1,6235510#1
road281,1,-5924485#0
road282,2,-5924485#1,5924485#1
road283,1,102227922#0
road284,1,5924485#2
road285,2,-8297009#1,8297011#1
road286,6,-8297011#0,-8297013#0,-8297013#1,8297011#0,8297013#0,8297013#1
road287,2,-8297011#0,5924483#0
road288,1,8297013#2
road289,2,-649646585#0,649646585#0
road290,1,-649646585#0
road291,2,26304375,649646585#1
road292,2,-19880888#7,-8509695#0
road293,2,-8509695#0,8509695#0
road294,1,8509695#0
road295,1,-19880888#4
road296,14,-19880888#6,-218848685,-474506097#2,-474506097#3,-474506097#4,-4984299#4,-51567593#2,19880888#6,218848685,474506097#2,474506097#3,474506097#4,4984299#4,51567593#2
road297,3,-474506097#1,-51567593#1,51567593#3
road298,1,-4984299#3
road299,2,19880888#7,8509695#0
road300,2,-48704539#1,-4984299#1
road301,6,-4984299#2,-4984299#3,-597486578,4984299#2,4984299#3,597486578
road302,1,4984299#3
road303,1,-4312427#3
road304,10,-4312427#4,-4312427#5,-4312427#6,-48704533#1,-48704539#0,4312427#4,4312427#5,4312427#6,48704533#1,48704539#0
road305,2,-48704533#0,4312427#6
road306,1,-8383743#1
road307,2,48704539#1,4984299#1
road308,4,-4312428#0,-4312428#1,4312428#0,4312428#1
road309,1,-4312428#0
road310,1,4312428#1
road311,1,-389535126#0
road312,10,-389535126#1,-389535126#2,-389535126#3,-4312428#0,-7544089,389535126#1,389535126#2,389535126#3,4312428#0,7544089
road313,2,389535126#3,7544089
road314,1,4312428#0
road315,1,-172779634#2
road316,8,-250466880,-4158220#0,-4158220#1,-4158220#2,250466880,4158220#0,4158220#1,4158220#2
road317,1,250462736#0
road318,1,4158220#2
road319,2,-4158220#2,4158220#2
