CONNECTION ID,# EDGES,EDGE IDS
road0,1,-210709371
road1,1,-77691298#1
road2,6,-210709368,-210709369,-210709371,210709368,210709369,210709371
road3,1,-213613323
road4,1,210709371
road5,2,-11184323,-210709379#1
road6,5,-210709370,-210709377,11192983,210709370,210709377
road7,1,213613323
road8,2,-11201515,11201515
road9,1,11201515
road10,2,-210709372,210709372
road11,1,-210709374#1
road12,1,-44077108#1
road13,1,-210709374#1
road14,1,210709374#1
road15,1,-210709374#0
road16,1,210709374#1
road17,1,-11189836#1
road18,2,-210709373,210709373
road19,1,210709374#0
road20,2,-11189836#0,11189836#0
road21,2,-77691887,73540509#8
road22,1,11189836#1
road23,1,-210709325
road24,2,-77691892,77691892
road25,1,-210709360
road26,1,-11182364
road27,2,-210709326,210709326
road28,4,-210709349,-210709354,210709349,210709354
road29,1,-210709352
road30,2,-213563529,213563529
road31,1,-213563529
road32,2,49887047,gneE1
road33,1,49887047
road34,2,-213546015,-73817079#0
road35,2,-73817079#0,73817079#0
road36,1,210605407
road37,2,-210605407,210605407
road38,1,-210605407
road39,1,-11200570#0
road40,4,-11200570#1,-11203042,11200570#1,11203042
road41,1,210605716
road42,8,-11194532,-210605717,-210605720,-210605721#0,11194532,210605717,210605720,210605721#0
road43,1,-210605716
road44,2,11194532,210605721#1
road45,4,-11194532,-210605718,11194532,210605718
road46,2,-11194532,-210605721#1
road47,1,210605719
road48,8,-11202779,-157610626#8,-210605711,-210605715,11202779,157610626#8,210605711,210605715
road49,1,-157610626#7
road50,1,-210605719
road51,1,-210605791
road52,1,-210605814
road53,2,-127605036,127605036
road54,1,-135787537
road55,1,11203043#0
road56,2,-11186205,11186205
road57,1,-11203043#0
road58,1,11203043#1
road59,1,-11203043#1
road60,1,-210709305
road61,1,-77691298#0
road62,1,77691298#1
road63,2,-210709305,210709305
road64,1,-210709305
road65,1,210709305
road66,2,-11181732,-210709378
road67,6,-11181733,-210709305,-210709379#0,11181733,210709305,210709379#0
road68,2,11184323,210709379#1
road69,1,210709305
road70,1,-11180735
road71,2,-11201515,11201515
road72,1,-11201515
road73,2,11181732,210709378
road74,1,11201515
road75,1,-11201515
road76,18,-157847888,156283054#0,156283054#1,156283057,157847888,157850839#0,157850839#1,157850839#2,44077117,620891604#0,620891604#1,620891605#0,620891605#1,620891606#0,620891606#1,620891607,620891608,77962553
road77,1,-78390897
road78,1,44077108#1
road79,1,620891605#0
road80,2,-78390897,78390897
road81,1,-78390897
road82,1,78390897
road83,2,-78390897,78390897
road84,1,-78390897
road85,1,78390897
road86,2,-78390897,78390897
road87,1,-78390897
road88,1,149984564#0
road89,1,78390897
road90,1,-149984564#0
road91,4,-149984564#1,-73540509#8,149984564#1,73540509#8
road92,2,-73540509#8,77691887
road93,1,73540509#8
road94,1,-11189849
road95,1,210709325
road96,1,-210709360
road97,1,210709360
road98,1,-11182364
road99,1,11182364
road100,1,-11181861
road101,2,-210709351,210709351
road102,1,210709352
road103,6,-157391024,-157391027,-157391115,157391024,157391027,157391115
road104,1,-157391027
road105,1,-157391110
road106,13,-11186645#0,-11186645#1,-11187636,-11200318,-213563481,-213563529,11186645#0,11186645#1,11187636,11200318,213563481,213563529,213563541
road107,1,-11187636
road108,1,157391027
road109,1,213563529
road110,1,32086491
road111,2,32086494,548660523
road112,2,32086494,548660523
road113,1,84084528#0
road114,16,-127605051#0,-127605051#1,-127605051#2,-127605051#3,-127605051#4,-84084528#1,-84084528#2,-84084528#3,127605051#0,127605051#1,127605051#2,127605051#3,127605051#4,84084528#1,84084528#2,84084528#3
road115,1,-127605051#0
road116,1,-84084528#0
road117,1,84084528#4
road118,10,-11204247#0,-11204247#1,-213546015,-213546016,-73817079#0,11204247#0,11204247#1,213546015,213546016,73817079#0
road119,1,-84084528#4
road120,2,213546015,73817079#0
road121,1,-11183460
road122,1,11183460
road123,2,-11183460,11183460
road124,1,-11183460
road125,1,11183460
road126,2,-11183460,11183460
road127,1,-11183460
road128,1,11183460
road129,2,-11183460,11183460
road130,1,-11183460
road131,1,549743570
road132,4,-127605058,-157610639,127605058,157610639
road133,1,-157610639
road134,1,-549743570
road135,1,11200570#0
road136,1,127605057
road137,1,-127605057
road138,1,127605057
road139,1,-127605057
road140,4,-127605061,-207671967#0,127605061,207671967#0
road141,1,-210605837
road142,1,207671967#1
