ID,mean,std,p50,p85
-109283624,15.976000,8.595000,15.372000,24.808000
-109850061,9.827000,9.334000,7.512000,10.706000
-109850072,24.077000,8.380000,23.265000,32.340000
-109850082#0,14.574000,4.773000,14.272000,19.004000
-109850082#1,14.574000,4.773000,14.272000,19.004000
-109850084#0,8.608000,9.651000,6.999000,10.724000
-109850084#1,8.608000,9.651000,6.999000,10.724000
-111429440,15.081000,7.972000,14.767000,17.632000
-111496550#0,20.904000,8.254000,19.850000,28.666000
-111496550#1,20.904000,8.254000,19.850000,28.666000
-111496550#2,20.904000,8.254000,19.850000,28.666000
-111496550#3,20.904000,8.254000,19.850000,28.666000
-111571967#0,23.597000,9.689000,22.503000,32.603000
-111571967#1,23.597000,9.689000,22.503000,32.603000
-111571967#2,23.597000,9.689000,22.503000,32.603000
-111571967#3,23.597000,9.689000,22.503000,32.603000
-112172868#0,8.931000,7.870000,6.786000,16.940000
-112172868#1,8.931000,7.870000,6.786000,16.940000
-112172868#2,8.931000,7.870000,6.786000,16.940000
-11266299,20.626000,8.521000,19.515000,29.218000
-112697637#0,16.418000,12.547000,14.133000,24.589000
-112697637#1,16.418000,12.547000,14.133000,24.589000
-112697637#2,16.418000,12.547000,14.133000,24.589000
-11387919,11.091000,3.347000,10.290000,15.137000
-11387925#0,11.581000,3.013000,11.329000,15.007000
-11387925#1,11.581000,3.013000,11.329000,15.007000
-11388786#0,18.192000,7.440000,17.579000,24.867000
-114729222#0,11.963000,8.434000,9.227000,20.477000
-114729222#1,11.963000,8.434000,9.227000,20.477000
-114729222#2,11.963000,8.434000,9.227000,20.477000
-11523986,14.582000,7.162000,12.705000,20.725000
-11546449#0,15.343000,3.779000,15.117000,18.940000
-11546449#1,15.343000,3.779000,15.117000,18.940000
-11546449#2,15.343000,3.779000,15.117000,18.940000
-11546449#3,15.343000,3.779000,15.117000,18.940000
-11546449#4,15.343000,3.779000,15.117000,18.940000
-11546485#0,13.397000,8.341000,11.726000,21.427000
-11546485#1,13.397000,8.341000,11.726000,21.427000
-11546485#2,13.397000,8.341000,11.726000,21.427000
-11546485#3,13.397000,8.341000,11.726000,21.427000
-11546485#4,13.397000,8.341000,11.726000,21.427000
-11546485#5,13.397000,8.341000,11.726000,21.427000
-11546485#6,13.397000,8.341000,11.726000,21.427000
-11546485#7,13.397000,8.341000,11.726000,21.427000
-116353210,15.081000,4.369000,14.173000,19.184000
-11660228#0,11.164000,4.999000,9.738000,12.412000
-11660228#1,11.164000,4.999000,9.738000,12.412000
-11660228#2,11.164000,4.999000,9.738000,12.412000
-11660228#3,11.164000,4.999000,9.738000,12.412000
-11660228#4,11.164000,4.999000,9.738000,12.412000
-11660314,15.674000,5.376000,14.846000,19.653000
-11660452,20.827000,7.405000,20.334000,28.089000
-11661412,15.146000,5.390000,13.678000,18.411000
-11663702,18.199000,9.871000,15.263000,24.393000
-11664323#1,18.299000,3.378000,18.104000,21.551000
-11665794#0,13.620000,5.394000,12.983000,17.205000
-11665794#1,13.620000,5.394000,12.983000,17.205000
-11665794#2,13.620000,5.394000,12.983000,17.205000
-11665794#3,13.620000,5.394000,12.983000,17.205000
-11668368#0,14.665000,5.083000,14.546000,18.344000
-11668368#1,14.665000,5.083000,14.546000,18.344000
-11668396,15.398000,3.128000,15.368000,18.104000
-11668442#0,13.188000,7.347000,12.948000,19.713000
-11668442#1,13.188000,7.347000,12.948000,19.713000
-11668442#2,13.188000,7.347000,12.948000,19.713000
-11668442#3,13.188000,7.347000,12.948000,19.713000
-11668454#0,5.904000,3.247000,5.426000,9.594000
-11668454#1,5.904000,3.247000,5.426000,9.594000
-11668454#2,5.904000,3.247000,5.426000,9.594000
-11668479#0,7.791000,2.717000,7.823000,10.418000
-11668479#1,7.791000,2.717000,7.823000,10.418000
-11668549#0,14.684000,4.172000,13.751000,18.360000
-11668549#1,14.684000,4.172000,13.751000,18.360000
-11668549#2,14.684000,4.172000,13.751000,18.360000
-11668549#4,14.684000,4.172000,13.751000,18.360000
-11668549#5,14.684000,4.172000,13.751000,18.360000
-11668549#6,14.684000,4.172000,13.751000,18.360000
-11668549#7,14.684000,4.172000,13.751000,18.360000
-11668549#8,14.684000,4.172000,13.751000,18.360000
