CONNECTION ID,# EDGES,EDGE IDS
road305,1,-210605719
road306,1,210605719
road307,1,-210605719
road308,1,210605719
road309,1,-210605719
road310,1,210605715
road311,1,-210605715
road312,1,11202779
road313,1,210605711
road314,1,-210605711
road315,1,210605711
road316,1,-210605711
road317,1,210605711
road318,1,-210605711
road319,1,210605711
road320,1,-210605711
road321,1,210605711
road322,1,-210605711
road323,1,210605711
road324,1,-157610626#7
road325,1,-210605711
road326,1,157610626#8
road327,1,-210605791
road328,1,210605791
road329,1,-210605814
road330,1,210605814
road331,1,-127605036
road332,1,127605036
road333,1,-11186205
road334,1,-210709371
road335,1,-210709371
road336,1,210709371
road337,1,-210709371
road338,1,210709371
road339,1,-210709371
road340,1,210709371
road341,1,-210709371
road342,1,210709371
road343,1,210709371
road344,1,-213613323
road345,1,210709369
road346,1,-213613323
road347,1,213613323
road348,1,-210709370
road349,1,213613323
road350,1,210709370
road351,1,-210709379#1
road352,1,210709379#1
road353,1,-11201515
road354,1,11201515
road355,1,-44077108#1
road356,1,44077108#1
road357,1,-77691887
road358,1,77691887
road359,1,-73540509#8
road360,1,73540509#8
road361,1,-210709325
road362,1,210709325
road363,1,-210709360
road364,1,210709360
road365,1,-11182364
road366,1,11182364
road367,1,-210709354
road368,1,210709354
road369,1,-213563529
road370,1,213563529
road371,1,49887047
road372,1,32086494
road373,1,548660523
road374,1,-73817079#0
road375,1,73817079#0
road376,1,-210605407
road377,1,210605407
road378,1,-210605407
road379,1,210605407
road380,1,-11200570#0
road381,1,11200570#0
road382,1,-157610626#7
road383,1,157610626#7
road384,1,-210605791
road385,1,210605791
road386,1,-210605814
road387,1,210605814
road388,1,-127605036
road389,1,127605036
road390,1,-11186205
road391,1,11186205
road392,1,-210709371
road393,1,-77691298#1
road394,1,-210709371
road395,1,210709371
road396,1,-210709371
road397,1,210709371
road398,1,210709371
road399,1,-210709370
road400,1,-11184323
road401,1,210709370
road402,1,-210709379#1
road403,1,210709379#1
road404,1,-11201515
road405,1,11201515
road406,1,-44077108#1
road407,1,44077108#1
road408,1,-77691887
road409,1,77691887
road410,1,-73540509#8
road411,1,73540509#8
road412,1,-210709325
road413,1,210709325
road414,1,-210709360
road415,1,210709360
road416,1,-11182364
road417,1,11182364
road418,1,-210709349
road419,1,210709354
road420,1,-213563529
road421,1,213563529
road422,1,49887047
road423,1,32086494
road424,1,548660523
road425,1,-73817079#0
road426,1,73817079#0
road427,1,-210605407
road428,1,210605407
road429,1,-210605407
road430,1,210605407
road431,1,-11200570#0
road432,1,11200570#0
road433,1,-157610626#7
road434,1,157610626#7
road435,1,-210605791
road436,1,210605791
road437,1,-210605814
road438,1,210605814
road439,1,-127605036
road440,1,127605036
road441,1,-11186205
road442,1,11186205
road443,1,77691298#1
road444,1,-77691298#1
road445,1,-11184323
road446,1,11184323
road447,1,-11184323
road448,1,11184323
road449,1,-210709379#1
road450,1,210709379#1
road451,1,-11201515
road452,1,11201515
